time/fps,train/std,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
292,0.050101038068532944,50.0,-22.3582398,157,920,0.0,46000,0.628216702491045,0.4034118056297302,8996,-4.395690202713013,0.0001,-34.15903949737549,,,
291,0.050101421773433685,50.0,-22.274896590000008,159,930,0.0,46600,0.4268896132707596,0.397354319691658,9148,-4.482205867767334,0.0001,-34.424072265625,,,
291,0.050098370760679245,50.0,-22.018453049999998,161,940,0.0,47000,0.2609538212418556,0.39341404289007187,9248,-4.663880228996277,0.0001,-34.065961837768555,,,
291,0.05010117217898369,50.0,-21.954231700000005,163,950,0.0,47600,0.23446018248796463,0.38766518235206604,9396,-5.041798830032349,0.0001,-34.01933193206787,,,
291,0.05010082945227623,50.0,-22.09743659,164,960,0.0,48000,0.6699019484221935,0.3838485777378082,9496,-4.726778745651245,0.0001,-33.62151908874512,,,
290,0.05010172724723816,50.0,-21.37492663,167,970,0.0,48600,0.4845756068825722,0.3780927062034607,9648,-4.684898614883423,0.0001,-33.67476272583008,,,
290,0.05010351166129112,50.0,-20.83068056,168,980,0.0,49000,0.8189343810081482,0.37434911727905273,9748,-4.780985951423645,0.0001,-33.40648555755615,,,
290,0.05010869726538658,50.0,-21.1089581,170,990,0.0,49600,0.14581456780433655,0.36890845745801926,9896,-4.887604355812073,0.0001,-33.37086772918701,,,
290,0.05010565370321274,50.0,-21.201034620000005,172,1000,0.0,50000,0.22973912581801414,0.36523938179016113,9996,-5.005470037460327,0.0001,-33.44975280761719,,,
290,0.05010408163070679,50.0,-21.529443609999998,174,1010,0.0,50600,0.28335270658135414,0.35972194373607635,10148,-5.020107388496399,0.0001,-32.98567295074463,,,
289,0.05011441558599472,50.0,-21.65729492,175,1020,0.0,51000,0.3234811369329691,0.35614198446273804,10248,-5.18335235118866,0.0001,-32.60597610473633,,,
289,0.050108008086681366,50.0,-21.160027179999997,178,1030,0.0,51600,0.24933213740587234,0.3509044274687767,10396,-5.071315407752991,0.0001,-32.478939056396484,,,
289,0.05011105164885521,50.0,-21.47320778,179,1040,0.0,52000,0.17714305594563484,0.3474043905735016,10496,-5.147823214530945,0.0001,-32.498581886291504,,,
289,0.05010862275958061,50.0,-21.688065650000002,181,1050,0.0,52600,0.6234184801578522,0.34219102561473846,10648,-5.145845055580139,0.0001,-32.02431297302246,,,
289,0.05011279508471489,50.0,-21.755100970000004,183,1060,0.0,53000,0.24441268295049667,0.33882419764995575,10748,-5.5186110734939575,0.0001,-31.902840614318848,,,
289,0.05011676996946335,50.0,-21.596308699999994,185,1070,0.0,53600,0.47361648827791214,0.3338100090622902,10896,-5.502702951431274,0.0001,-31.68879270553589,,,
289,0.05011694133281708,50.0,-21.72219038,186,1080,0.0,54000,0.31848799251019955,0.3304945155978203,10996,-5.492202639579773,0.0001,-31.49878978729248,,,
288,0.05011701211333275,50.0,-21.139928519999994,188,1090,0.0,54600,0.17650076746940613,0.32552751153707504,11148,-5.2247761487960815,0.0001,-31.124330520629883,,,
288,0.05011636018753052,50.0,-21.010420189999994,190,1100,0.0,55000,0.11128119938075542,0.32229354977607727,11248,-5.336385369300842,0.0001,-31.000333309173584,,,
288,0.050121258944272995,50.0,-21.13213118,192,1110,0.0,55600,0.4242996275424957,0.31759658455848694,11396,-5.566270112991333,0.0001,-30.657896041870117,,,
288,0.05011874437332153,50.0,-21.255809319999997,193,1120,0.0,56000,0.358496718108654,0.3144504949450493,11496,-5.8530272245407104,0.0001,-30.493423461914062,,,
288,0.050124816596508026,50.0,-21.44160809,196,1130,0.0,56600,0.35681484267115593,0.30971841514110565,11648,-5.860306024551392,0.0001,-30.4951810836792,,,
288,0.05012349411845207,50.0,-21.79998213,197,1140,0.0,57000,0.1491908524185419,0.30665095150470734,11748,-5.71918261051178,0.0001,-30.10115671157837,,,
288,0.05012946575880051,50.0,-21.37575634,199,1150,0.0,57600,0.8020428456366062,0.3021848201751709,11896,-5.85929799079895,0.0001,-29.91357946395874,,,
288,0.05012797936797142,50.0,-21.406328090000002,201,1160,0.0,58000,0.16598746553063393,0.2991730570793152,11996,-5.8671568632125854,0.0001,-29.686930179595947,,,
287,0.05012381076812744,50.0,-21.349588539999996,203,1170,0.0,58600,0.3383966274559498,0.29465413093566895,12148,-5.981859445571899,0.0001,-29.366337776184082,,,
287,0.050128668546676636,50.0,-22.625637029999996,205,1180,0.0,59000,0.19671147875487804,0.29171957820653915,12248,-5.894325613975525,0.0001,-28.9867525100708,,,
287,0.05012522265315056,50.0,-22.85489294,207,1190,0.0,59600,0.12733188644051552,0.2874578535556793,12396,-6.313392639160156,0.0001,-28.934197902679443,,,
287,0.05012728273868561,50.0,-22.72591175,208,1200,0.0,60000,0.20203934982419014,0.28462842106819153,12496,-6.2042396068573,0.0001,-28.809651374816895,,,
287,0.05012792348861694,50.0,-22.334145999999997,211,1210,0.0,60600,0.1165269035845995,0.28034358471632004,12648,-5.969896912574768,0.0001,-28.35039710998535,,,
287,0.050131820142269135,50.0,-22.159918279999996,212,1220,0.0,61000,0.19101103022694588,0.27757612615823746,12748,-6.93504524230957,0.0001,-28.470654487609863,,,
286,0.0501256100833416,50.0,-22.009108580000003,214,1230,0.0,61600,0.324967447668314,0.2735140696167946,12896,-6.574357628822327,0.0001,-27.901535511016846,,,
286,0.0501292459666729,50.0,-21.294198350000002,216,1240,0.0,62000,0.2971039433032274,0.2707955688238144,12996,-6.8335031270980835,0.0001,-27.987645626068115,,,
286,0.05013226717710495,50.0,-21.50668423,218,1250,0.0,62600,0.11789481155574322,0.26674047112464905,13148,-6.205662965774536,0.0001,-27.332123279571533,,,
286,0.05013197660446167,50.0,-21.47472608,220,1260,0.0,63000,0.15724675729870796,0.26408252120018005,13248,-6.227952480316162,0.0001,-27.26512575149536,,,
286,0.05013180524110794,50.0,-21.62353889,222,1270,0.0,63600,0.3396907541900873,0.2602187246084213,13396,-6.5120344161987305,0.0001,-26.832449913024902,,,
286,0.05013090372085571,50.0,-20.27015998,223,1280,0.0,64000,0.21840136870741844,0.25762585550546646,13496,-6.557301044464111,0.0001,-26.76927900314331,,,
285,0.05013313889503479,50.0,-20.07256898,225,1290,0.0,64600,0.5871312990784645,0.25373518466949463,13648,-6.095478177070618,0.0001,-26.342894554138184,,,
285,0.05013728141784668,50.0,-20.45256392,227,1300,0.0,65000,0.26987800374627113,0.2512132227420807,13748,-6.952203392982483,0.0001,-26.45423936843872,,,
285,0.05013322830200195,50.0,-20.588701589999996,229,1310,0.0,65600,0.0867228377610445,0.24749725684523582,13896,-6.959614634513855,0.0001,-25.994153022766113,,,
285,0.05013512820005417,50.0,-20.7808185,231,1320,0.0,66000,0.12242000363767147,0.2450331225991249,13996,-6.6975425481796265,0.0001,-25.914608478546143,,,
285,0.05013660714030266,50.0,-21.058468539999993,233,1330,0.0,66600,0.3359319865703583,0.241365235298872,14148,-6.789998173713684,0.0001,-25.443076610565186,,,
285,0.050136398524045944,50.0,-21.257620309999997,234,1340,0.0,67000,0.08749072533100843,0.23897167295217514,14248,-7.12397575378418,0.0001,-25.3889217376709,,,
285,0.050140321254730225,50.0,-21.300331300000003,236,1350,0.0,67600,0.23196299746632576,0.23548585548996925,14396,-6.7829660177230835,0.0001,-24.92268705368042,,,
285,0.0501345619559288,50.0,-21.535604300000003,238,1360,0.0,68000,0.066752128303051,0.23313425853848457,14496,-7.159853577613831,0.0001,-24.678741931915283,,,
284,0.050137683749198914,50.0,-21.516139880000004,240,1370,0.0,68600,0.12345739640295506,0.22965595126152039,14648,-7.254211902618408,0.0001,-24.51033306121826,,,
284,0.05014161393046379,50.0,-22.296611000000002,242,1380,0.0,69000,0.20192267931997776,0.22737497463822365,14748,-7.246183276176453,0.0001,-24.342325687408447,,,
284,0.05014777183532715,50.0,-22.286768640000002,244,1390,0.0,69600,0.2945820540189743,0.22403672337532043,14896,-7.228875756263733,0.0001,-24.21082305908203,,,
284,0.05015107989311218,50.0,-22.305691370000005,245,1400,0.0,70000,0.2441310714930296,0.22179901227355003,14996,-6.736683964729309,0.0001,-23.672059059143066,,,
284,0.050150688737630844,50.0,-22.37036831,248,1410,0.0,70600,0.1535307615995407,0.2184571586549282,15148,-7.491563320159912,0.0001,-23.59539270401001,,,
284,0.050150223076343536,50.0,-22.05731902,249,1420,0.0,71000,0.07116915471851826,0.21629928424954414,15248,-7.837123990058899,0.0001,-23.55160903930664,,,
284,0.050150420516729355,50.0,-21.76544254000001,251,1430,0.0,71600,0.32434246875345707,0.21313586458563805,15396,-7.6813459396362305,0.0001,-23.011191844940186,,,
284,0.050150316208601,50.0,-21.822206299999998,253,1440,0.0,72000,0.051752107217907906,0.21101641654968262,15496,-7.7846773862838745,0.0001,-22.999475955963135,,,
284,0.05014694854617119,50.0,-21.203931859999997,255,1450,0.0,72600,0.15150843746960163,0.20784977450966835,15648,-7.7180187702178955,0.0001,-22.565635681152344,,,
284,0.050151705741882324,50.0,-20.768417349999996,256,1460,0.0,73000,0.19446869380772114,0.2057935819029808,15748,-7.5160893201828,0.0001,-22.260343074798584,,,
284,0.05015028640627861,50.0,-20.687893709999997,259,1470,0.0,73600,0.06415528245270252,0.20276659727096558,15896,-8.179141640663147,0.0001,-22.034493446350098,,,
283,0.05015270411968231,50.0,-20.133040489999996,260,1480,0.0,74000,0.05314795486629009,0.20075854659080505,15996,-7.569774508476257,0.0001,-21.901193618774414,,,
283,0.050156861543655396,50.0,-20.03905515,262,1490,0.0,74600,0.1487884372472763,0.19774507731199265,16148,-7.9383463859558105,0.0001,-21.65428066253662,,,
283,0.0501607283949852,50.0,-19.85850042,264,1500,0.0,75000,0.06871562730520964,0.1957845687866211,16248,-8.053852558135986,0.0001,-21.509262561798096,,,
283,0.05015786737203598,50.0,-19.85725242,266,1510,0.0,75600,0.3238934241235256,0.1929251253604889,16396,-7.947873830795288,0.0001,-21.042478561401367,,,
283,0.05016209930181503,50.0,-20.02116539,268,1520,0.0,76000,0.05482495483011007,0.1910131573677063,16496,-8.28563404083252,0.0001,-20.925796031951904,,,
283,0.050156839191913605,50.0,-20.355148540000002,270,1530,0.0,76600,0.16879502311348915,0.1881222389638424,16648,-7.939482808113098,0.0001,-20.457980632781982,,,
283,0.050160013139247894,50.0,-20.59751167,271,1540,0.0,77000,0.10948928818106651,0.18626940622925758,16748,-8.05236554145813,0.0001,-20.407272338867188,,,
283,0.050163596868515015,50.0,-21.093043580000003,273,1550,0.0,77600,0.05005100928246975,0.18352997675538063,16896,-8.302641153335571,0.0001,-20.19090509414673,,,
283,0.05016131326556206,50.0,-21.98701302,275,1560,0.0,78000,0.08856813423335552,0.18170204013586044,16996,-8.47293734550476,0.0001,-20.10613775253296,,,
282,0.05016426369547844,50.0,-21.946255940000004,277,1570,0.0,78600,0.1384469624608755,0.1789589822292328,17148,-8.638997673988342,0.0001,-19.634942531585693,,,
282,0.05016510933637619,50.0,-22.065995079999997,279,1580,0.0,79000,0.13180351816117764,0.17719968408346176,17248,-8.819847345352173,0.0001,-19.58078622817993,,,
282,0.05016763135790825,50.0,-22.404934149999995,281,1590,0.0,79600,0.060467866249382496,0.1746065430343151,17396,-8.924938917160034,0.0001,-19.323625087738037,,,
,,,,,,,80000,0.15792756993323565,0.17287422344088554,17496,-8.487481594085693,0.0001,-19.224310398101807,-21.788456850000003,50.0,0.0
280,0.05016661807894707,50.0,-22.38275493,285,1600,0.0,80000,,,,,,,,,
280,0.050167765468358994,50.0,-21.9257758,287,1610,0.0,80600,0.1754449773579836,0.17027082666754723,17648,-8.384179592132568,0.0001,-18.837695121765137,,,
280,0.050163790583610535,50.0,-22.283162479999998,288,1620,0.0,81000,0.044444956351071596,0.16858220100402832,17748,-8.689656257629395,0.0001,-18.672388553619385,,,
280,0.05016392469406128,50.0,-22.34997191,290,1630,0.0,81600,0.27355276606976986,0.16611629351973534,17896,-8.959568500518799,0.0001,-18.369781970977783,,,
280,0.05016864463686943,50.0,-22.254728170000003,292,1640,0.0,82000,0.044920938555151224,0.16447839885950089,17996,-8.87062931060791,0.0001,-18.14254903793335,,,
280,0.05017068237066269,50.0,-21.70806132,294,1650,0.0,82600,0.15377752110362053,0.16198601573705673,18148,-8.137233972549438,0.0001,-17.79880380630493,,,
280,0.05017236992716789,50.0,-20.68020147,296,1660,0.0,83000,0.1783018298447132,0.16038978099822998,18248,-9.275444746017456,0.0001,-17.79000186920166,,,
280,0.050173789262771606,50.0,-20.430156599999997,298,1670,0.0,83600,0.07459045015275478,0.15803131833672523,18396,-9.004070281982422,0.0001,-17.50479793548584,,,
280,0.05017007514834404,50.0,-20.19352596,299,1680,0.0,84000,0.04080801084637642,0.15643133595585823,18496,-8.552702188491821,0.0001,-17.21638584136963,,,
280,0.05017480254173279,50.0,-19.97888838,301,1690,0.0,84600,0.274311994202435,0.15408995747566223,18648,-9.20338225364685,0.0001,-16.992825508117676,,,
280,0.05017685890197754,50.0,-19.97036739,303,1700,0.0,85000,0.1261679781600833,0.15254206582903862,18748,-9.248111963272095,0.0001,-16.93212366104126,,,
280,0.05017438158392906,50.0,-20.405389189999998,305,1710,0.0,85600,0.052925076335668564,0.1503189355134964,18896,-9.13020658493042,0.0001,-16.58035707473755,,,
280,0.05017738789319992,50.0,-19.967212559999997,307,1720,0.0,86000,0.05081409029662609,0.14883516356348991,18996,-9.166382312774658,0.0001,-16.43128538131714,,,
280,0.05017552524805069,50.0,-19.57437552,309,1730,0.0,86600,0.06059290375560522,0.14660192653536797,19148,-9.83960247039795,0.0001,-16.309951305389404,,,
280,0.05017684027552605,50.0,-19.49329797,310,1740,0.0,87000,0.07237433735281229,0.14514987170696259,19248,-9.426546335220337,0.0001,-16.04262065887451,,,
