time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,rollout/ep_len_mean,train/std,time/episodes,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward,eval/success_rate
78942,922,-21.453628279999997,85,0.0,50.0,0.04984031617641449,1580,0.0011440948292147368,0.0001,-11.377082824707031,3.456671953201294,0.0016666148148942739,68940,,,
79442,928,-21.919319330000004,85,0.0,50.0,0.04981253296136856,1590,0.0010958534257952124,0.0001,-11.37932825088501,3.4585248827934265,0.008951155905378982,69440,,,
79942,934,-22.103481209999998,85,0.0,50.0,0.04980092495679855,1600,0.0010500629432499409,0.0001,-9.936027765274048,3.429555833339691,0.0010732882510637864,69940,,,
80000,,,,,,,,0.0010448344401083887,0.0001,-11.08241057395935,3.4591217041015625,0.0016116260376293212,69996,50.0,-22.702209000000003,0.0
80442,946,-22.10347409,84,0.0,50.0,0.049770377576351166,1610,0.0010060776257887483,0.0001,-13.23561406135559,3.4194396138191223,0.001508826419012621,70440,,,
80942,952,-21.9424935,84,0.0,50.0,0.04974530637264252,1620,0.0009644531382946298,0.0001,-11.200512647628784,3.420241415500641,0.0014596292894566432,70940,,,
81442,958,-21.622115229999995,84,0.0,50.0,0.04971475526690483,1630,0.0009260506776627153,0.0001,-9.158987283706665,3.4065712690353394,0.0013985697296448052,71440,,,
81942,964,-20.94226665,84,0.0,50.0,0.04966643452644348,1640,0.0008895488863345236,0.0001,-4.046059787273407,3.397863507270813,0.004703161248471588,71940,,,
82442,971,-21.227199940000002,84,0.0,50.0,0.04962262138724327,1650,0.0008546399913029745,0.0001,-9.689936637878418,3.4386711716651917,0.0012521506869234145,72440,,,
82942,978,-21.026207279999998,84,0.0,50.0,0.04958271235227585,1660,0.000821487934445031,0.0001,-9.147431254386902,3.452808916568756,0.002610705851111561,72940,,,
83442,985,-20.59695523,84,0.0,50.0,0.04955095052719116,1670,0.0007919748750282452,0.0001,-10.176910281181335,3.43192857503891,0.0035799422184936702,73440,,,
83942,992,-20.76723192,84,0.0,50.0,0.04950813949108124,1680,0.0007621787226526067,0.0001,-12.228293716907501,3.4307605028152466,0.004610192409018055,73940,,,
