rollout/success_rate,train/std,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,0.05013890191912651,42464,89,476,50.0,-22.29763472,850,32460,0.03879770636558533,0.007959850889164954,0.0001,-15.361990690231323,-2.362203061580658,,,
0.0,0.05013785883784294,42964,89,482,50.0,-21.794389349999996,860,32960,0.03690869826823473,0.007629342842847109,0.0001,-17.342825889587402,-2.1390056014060974,,,
0.0,0.05014058202505112,43464,89,488,50.0,-21.97703555,870,33460,0.03511559125036001,0.004123795253690332,0.0001,-16.304438591003418,-1.7792029082775116,,,
0.0,0.05013088509440422,43964,88,494,50.0,-21.56389797,880,33960,0.03340534400194883,0.010008384590037167,0.0001,-16.53422212600708,-1.5036325752735138,,,
0.0,0.05013289302587509,44464,88,500,50.0,-21.13923201,890,34460,0.03178164642304182,0.010787470178911462,0.0001,-16.77310538291931,-1.3192752599716187,,,
0.0,0.0501321479678154,44964,88,506,50.0,-21.31494674,900,34960,0.03023065673187375,0.0049989583203569055,0.0001,-16.981252670288086,-1.0981662273406982,,,
0.0,0.05013853311538696,45464,88,512,50.0,-21.142079189999993,910,35460,0.028758478816598654,0.0023575020022690296,0.0001,-18.87905502319336,-0.8745903223752975,,,
0.0,0.05015113204717636,45964,88,519,50.0,-20.915631440000002,920,35960,0.027364979032427073,0.0021879533596802503,0.0001,-17.461507320404053,-0.64006407558918,,,
0.0,0.050147365778684616,46464,88,525,50.0,-20.639635,930,36460,0.02603758918121457,0.00805074130767025,0.0001,-18.225945472717285,-0.4361657276749611,,,
0.0,0.05014153942465782,46964,88,531,50.0,-20.349938140000003,940,36960,0.02477436698973179,0.0028737652173731476,0.0001,-17.075565099716187,-0.22342826426029205,,,
0.0,0.05014898627996445,47464,88,538,50.0,-20.534487220000003,950,37460,0.02356856781989336,0.002591740485513583,0.0001,-17.609367847442627,-0.04833631869405508,,,
0.0,0.05014767497777939,47964,88,544,50.0,-20.80915865,960,37960,0.02242475189268589,0.003062848816625774,0.0001,-17.505897045135498,0.19058524817228317,,,
0.0,0.050144948065280914,48464,88,550,50.0,-20.52778397,970,38460,0.021333486773073673,0.001361220667604357,0.0001,-18.42280387878418,0.3543965816497803,,,
0.0,0.05013815686106682,48964,87,556,50.0,-20.329150149999997,980,38960,0.02029319992288947,0.0013726488396059722,0.0001,-19.371642112731934,0.4889066070318222,,,
