rollout/ep_rew_mean,train/std,rollout/ep_len_mean,time/episodes,rollout/success_rate,time/time_elapsed,time/total_timesteps,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,eval/success_rate,eval/mean_ep_length,eval/mean_reward
-20.515762119999998,0.05040702223777771,50.0,1210,0.0,661,60388,91,-21.912973880767822,0.0001,50384,2.6266896724700928,0.057351090043084696,0.006609129603020847,,,
-20.196979430000003,0.050398897379636765,50.0,1220,0.0,667,60888,91,-26.89322805404663,0.0001,50884,2.7229018807411194,0.006233709107618779,0.0062988343415781856,,,
-20.171036060000002,0.050395429134368896,50.0,1230,0.0,673,61388,91,-17.63164710998535,0.0001,51384,2.7477830052375793,0.0028386756021063775,0.006004304974339902,,,
-20.344290850000004,0.050393521785736084,50.0,1240,0.0,679,61888,91,-22.63200330734253,0.0001,51884,2.754281222820282,0.0017750802217051387,0.005725866882130504,,,
-20.022014220000003,0.0503985658288002,50.0,1250,0.0,685,62388,91,-23.758723258972168,0.0001,52384,2.7707895040512085,0.0028328945918474346,0.00546034739818424,,,
-20.25558592,0.05038832873106003,50.0,1260,0.0,691,62888,90,-19.250336170196533,0.0001,52884,2.79608952999115,0.0015497105778194964,0.0052052384708076715,,,
-19.25360671,0.05038970708847046,50.0,1270,0.0,697,63388,90,-17.60521173477173,0.0001,53384,2.819095492362976,0.0027661103231366724,0.0049635975155979395,,,
-19.48630403,0.05037736892700195,50.0,1280,0.0,703,63888,90,-17.53794240951538,0.0001,53884,2.9059882164001465,0.0034350481582805514,0.004734542337246239,,,
-19.38004479,0.050368454307317734,50.0,1290,0.0,709,64388,90,-21.43840217590332,0.0001,54384,2.891310930252075,0.0031658224761486053,0.004517139517702162,,,
-19.077927680000002,0.05036162585020065,50.0,1300,0.0,715,64888,90,-17.056983470916748,0.0001,54884,2.8984967470169067,0.004273808241123334,0.004311320022679865,,,
-18.74213189,0.05035852640867233,50.0,1310,0.0,721,65388,90,-17.664732933044434,0.0001,55384,2.9501391649246216,0.004060289589688182,0.004117244272492826,,,
-18.698137319999997,0.050351470708847046,50.0,1320,0.0,726,65888,90,-16.28462266921997,0.0001,55884,2.955010950565338,0.036202010640408844,0.003930404665879905,,,
-18.698783560000003,0.05035078525543213,50.0,1330,0.009999999776482582,732,66388,90,-13.964185237884521,0.0001,56384,3.0041024684906006,0.02300457505043596,0.003754362347535789,,,
-18.23406947,0.05033645033836365,50.0,1340,0.009999999776482582,738,66888,90,-16.264914512634277,0.0001,56884,2.9634666442871094,0.004317121027270332,0.0035869989078491926,,,
-17.76444295,0.05031399056315422,50.0,1350,0.009999999776482582,744,67388,90,-11.71707010269165,0.0001,57384,2.98515385389328,0.027096819394500926,0.0034321602433919907,,,
-17.16293984,0.05029911920428276,50.0,1360,0.009999999776482582,750,67888,90,-14.774975538253784,0.0001,57884,2.93129700422287,0.0037329138431232423,0.0032880224753171206,,,
-17.8431906,0.05027833580970764,49.83,1370,0.019999999552965164,755,68371,90,-11.447615146636963,0.0001,58368,2.9695293307304382,0.0022717248066328466,0.0031593964085914195,,,
-17.711368460000003,0.05026004835963249,49.83,1380,0.019999999552965164,762,68871,90,-14.286808490753174,0.0001,58868,2.9322968125343323,0.003718134481459856,0.003039199043996632,,,
-17.072094489999998,0.05023478716611862,49.83,1390,0.019999999552965164,768,69371,90,-10.723927736282349,0.0001,59368,2.886344790458679,0.0039032850763760507,0.0029289310914464295,,,
-17.063015240000002,0.05022042989730835,49.83,1400,0.019999999552965164,774,69871,90,-9.631617069244385,0.0001,59868,2.8833528757095337,0.003099625726463273,0.0028265120927244425,,,
-16.790223350000005,0.050210367888212204,49.54,1410,0.029999999329447746,780,70342,90,-11.725908517837524,0.0001,60340,2.8294812440872192,0.004025950620416552,0.0027214459842070937,,,
-16.605465630000005,0.05019555985927582,49.54,1420,0.029999999329447746,786,70842,90,-8.715209662914276,0.0001,60840,2.8310664892196655,0.003090968035394326,0.0026113750063814223,,,
-16.83534508,0.050169192254543304,49.54,1430,0.019999999552965164,792,71342,90,-8.802040457725525,0.0001,61340,2.796064257621765,0.0032671805238351226,0.0025066318339668214,,,
-16.814090380000003,0.05015399679541588,49.54,1440,0.019999999552965164,798,71842,89,-6.27455535531044,0.0001,61840,2.8121368885040283,0.005751452757976949,0.002407975203823298,,,
-17.27345959,0.05012603849172592,49.54,1450,0.019999999552965164,804,72342,89,-8.486417353153229,0.0001,62340,2.754200279712677,0.006451550172641873,0.0023173263762146235,,,
-16.82819487,0.05009991675615311,48.88,1460,0.03999999910593033,809,72776,89,-9.354800343513489,0.0001,62772,2.6976265907287598,0.0027512331726029515,0.002245467621833086,,,
-16.13325621,0.05007046461105347,48.6,1470,0.03999999910593033,815,73231,89,-8.394556403160095,0.0001,63228,2.718978703022003,0.003973462793510407,0.0021704467944800854,,,
-17.088496869999997,0.05004246160387993,48.22,1480,0.05000000074505806,820,73693,89,-7.816336750984192,0.0001,63692,2.725017488002777,0.003226096392609179,0.0020983073045499623,,,
-17.43935726,0.0500323586165905,48.22,1490,0.05000000074505806,826,74193,89,-8.865667581558228,0.0001,64192,2.7085511088371277,0.012183636659756303,0.0020225795451551676,,,
-17.59808384,0.049996137619018555,48.22,1500,0.05000000074505806,832,74693,89,-8.412719130516052,0.0001,64692,2.7958561182022095,0.0091753622982651,0.0019279988773632795,,,
-17.95880566,0.049964647740125656,48.51,1510,0.03999999910593033,839,75193,89,-9.231412887573242,0.0001,65192,2.765164613723755,0.01363102754112333,0.0018410441698506474,,,
-18.00798664,0.04993581026792526,48.51,1520,0.03999999910593033,845,75693,89,-8.231383919715881,0.0001,65692,2.8230977058410645,0.004423252772539854,0.0017625443579163402,,,
-18.071561650000003,0.049900077283382416,48.51,1530,0.03999999910593033,851,76193,89,-11.838443994522095,0.0001,66192,2.7576112747192383,0.00756280473433435,0.001690216682618484,,,
-18.41325293,0.04985006898641586,48.51,1540,0.03999999910593033,857,76693,89,-10.219295024871826,0.0001,66692,2.8127127289772034,0.00518429244402796,0.0016266040911432356,,,
-18.60014582,0.049811042845249176,48.07,1550,0.05000000074505806,862,77149,89,-4.62413290143013,0.0001,67148,2.767205595970154,0.005866191699169576,0.0015756332140881568,,,
-18.555151319999997,0.049780964851379395,48.73,1560,0.029999999329447746,869,77649,89,-13.323632597923279,0.0001,67648,2.78251188993454,0.004906173155177385,0.001524205697933212,,,
-18.62996119,0.04973619431257248,49.18,1570,0.019999999552965164,875,78149,89,-2.174539290368557,0.0001,68148,2.7575002312660217,0.008736232412047684,0.0014716575096827,,,
-18.38178145,0.04970742389559746,49.56,1580,0.009999999776482582,881,78649,89,-6.533924996852875,0.0001,68648,2.7616684436798096,0.004922398540657014,0.0014276936126407236,,,
-18.752814450000002,0.049666762351989746,49.11,1590,0.019999999552965164,886,79104,89,-4.625888228416443,0.0001,69100,2.7518268823623657,0.0030252691358327866,0.0013877690944354981,,,
-18.03071435,0.04961597919464111,48.74,1600,0.029999999329447746,892,79567,89,-4.647329896688461,0.0001,69564,2.7843470573425293,0.0046410164213739336,0.0013497587060555816,,,
,,,,,,80000,,-2.042462021112442,0.0001,69996,2.6884185075759888,0.0048905895091593266,0.0013170232996344566,0.0,50.0,-23.06226035
-17.88458255,0.04958111047744751,48.74,1610,0.029999999329447746,903,80067,88,-4.412952229380608,0.0001,70064,2.7250421047210693,0.005724824266508222,0.0013117151102051139,,,
-17.875200749999998,0.04953927919268608,48.74,1620,0.029999999329447746,910,80567,88,-12.15180566906929,0.0001,70564,2.669835686683655,0.008210393076296896,0.0012762124242726713,,,
-17.401093139999997,0.04948362335562706,48.74,1630,0.029999999329447746,915,81067,88,-5.934451907873154,0.0001,71064,2.671272933483124,0.009918434545397758,0.0012436307733878493,,,
-16.60480833,0.04944184422492981,47.72,1640,0.05999999865889549,920,81465,88,-0.9793742299079895,0.0001,71464,2.6831288933753967,0.004726535524241626,0.0012242563534528017,,,
-16.65466844,0.04939427226781845,48.16,1650,0.05000000074505806,926,81965,88,-0.3667055368423462,0.0001,71964,2.682492971420288,0.006673769094049931,0.0012002571602351964,,,
-17.032591849999996,0.049334049224853516,48.16,1660,0.05000000074505806,932,82465,88,-5.743343263864517,0.0001,72464,2.7105648517608643,0.005653986474499106,0.0011737548629753292,,,
