rollout/success_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,1050,50.0,-21.171186279999997,52471,560,93,0.050338588654994965,42468,0.0037732234923169017,0.0001,-20.61356496810913,1.5041422843933105,0.014344204450026155,,,
0.0,1060,50.0,-20.885893509999995,52971,566,93,0.05034121870994568,42968,0.0019323221931699663,0.0001,-20.421366691589355,1.5864649415016174,0.013647390529513359,,,
0.0,1070,50.0,-20.695719900000004,53471,571,93,0.05034274980425835,43468,0.004743271420011297,0.0001,-20.29191780090332,1.7769888043403625,0.012987067457288504,,,
0.0,1080,50.0,-20.629799809999998,53971,577,93,0.050346892327070236,43968,0.0075437938794493675,0.0001,-21.02227258682251,1.8087891936302185,0.012357683153823018,,,
0.0,1090,50.0,-20.294167719999997,54471,583,93,0.05036194249987602,44468,0.0029720377060584724,0.0001,-21.84554386138916,1.9566605985164642,0.011758295586332679,,,
0.0,1100,50.0,-19.85611107,54971,589,93,0.05036318302154541,44968,0.002321495208889246,0.0001,-20.720537662506104,2.1175151467323303,0.01118619367480278,,,
0.0,1110,50.0,-19.88457223,55471,595,93,0.0503649041056633,45468,0.0022006372164469212,0.0001,-21.55722665786743,2.170620560646057,0.0106436088681221,,,
0.0,1120,50.0,-19.98362909,55971,601,93,0.05037017911672592,45968,0.0013123400276526809,0.0001,-21.444376468658447,2.1585134267807007,0.010129310889169574,,,
0.0,1130,50.0,-19.58473199,56471,606,93,0.050372086465358734,46468,0.001645045675104484,0.0001,-22.77046823501587,2.31743186712265,0.009641450829803944,,,
0.0,1140,50.0,-20.027962060000004,56971,612,92,0.050376977771520615,46968,0.0012332970218267292,0.0001,-21.211885452270508,2.403090715408325,0.009175776736810803,,,
0.0,1150,50.0,-19.98926295,57471,618,92,0.05036737769842148,47468,0.004272267688065767,0.0001,-22.215052127838135,2.446268618106842,0.008734917268157005,,,
0.0,1160,50.0,-19.97714863,57971,624,92,0.05035878345370293,47968,0.005319686810253188,0.0001,-21.85249423980713,2.5777294635772705,0.008312475867569447,,,
0.0,1170,50.0,-20.01849108,58471,630,92,0.050362564623355865,48468,0.002941778060630895,0.0001,-22.11327075958252,2.635608732700348,0.007913979003205895,,,
0.0,1180,50.0,-20.26855577,58971,636,92,0.05036618560552597,48968,0.020889519684715196,0.0001,-22.99000072479248,2.6496246457099915,0.007535171462222934,,,
0.0,1190,50.0,-21.008384699999997,59471,642,92,0.05038295313715935,49468,0.0029095237841829658,0.0001,-21.1821231842041,2.6957008838653564,0.007174351718276739,,,
0.0,1200,50.0,-21.240495140000004,59971,648,92,0.050396766513586044,49968,0.004953176045091823,0.0001,-23.1079421043396,2.756518542766571,0.006836540880613029,,,
,,,,60000,,,,49996,0.0024527495552320033,0.0001,-19.509368896484375,2.766130745410919,0.0068179049994796515,-21.762864750000002,50.0,0.0
0.009999999776482582,1210,49.65,-21.194477420000002,60436,660,91,0.050391048192977905,50432,0.0018680432112887502,0.0001,-21.562401294708252,2.842385411262512,0.006541641894727945,,,
0.009999999776482582,1220,49.65,-21.3206608,60936,666,91,0.0503828339278698,50932,0.0038905435940250754,0.0001,-15.723313808441162,2.8774238228797913,0.006244534160941839,,,
0.009999999776482582,1230,49.65,-21.489241309999993,61436,672,91,0.0503808967769146,51432,0.0029396144673228264,0.0001,-22.133105754852295,2.8326651453971863,0.005967663717456162,,,
0.009999999776482582,1240,49.65,-21.868718480000002,61936,678,91,0.05037599056959152,51932,0.001620288734557107,0.0001,-17.510664463043213,2.8773942589759827,0.005702120019122958,,,
0.009999999776482582,1250,49.65,-22.2351462,62436,684,91,0.0503779873251915,52432,0.003366446355357766,0.0001,-16.272173166275024,2.917011260986328,0.005441266228444874,,,
0.009999999776482582,1260,49.65,-22.311682479999995,62936,690,91,0.05036487430334091,52932,0.00193544861394912,0.0001,-19.424796104431152,2.8537235260009766,0.005191991804167628,,,
0.009999999776482582,1270,49.65,-22.140810209999994,63436,697,91,0.050366275012493134,53432,0.0028754452941939235,0.0001,-21.288742542266846,2.9598971605300903,0.004954664618708193,,,
0.009999999776482582,1280,49.65,-21.80204836,63936,703,90,0.0503590926527977,53932,0.002002159075345844,0.0001,-21.75353717803955,2.9755425453186035,0.004723717691376805,,,
0.009999999776482582,1290,49.65,-21.72314264000001,64436,709,90,0.0503406748175621,54432,0.002375631418544799,0.0001,-16.73017692565918,2.9953131675720215,0.004505789140239358,,,
0.009999999776482582,1300,49.65,-22.22380303,64936,715,90,0.05033380910754204,54932,0.002702455996768549,0.0001,-22.894554138183594,2.950231671333313,0.004299456952139735,,,
0.0,1310,50.0,-22.16408389,65436,721,90,0.05031247064471245,55432,0.001586421742103994,0.0001,-15.715234756469727,3.0091434717178345,0.004102951032109559,,,
0.0,1320,50.0,-21.655343820000002,65936,727,90,0.0502985417842865,55932,0.0018185397784691304,0.0001,-13.279309272766113,3.040849447250366,0.003919328097254038,,,
0.009999999776482582,1330,49.65,-21.40457653,66401,733,90,0.05028700828552246,56400,0.006096796889323741,0.0001,-15.224814176559448,3.0018948912620544,0.0037569169071502984,,,
0.009999999776482582,1340,49.65,-20.582092350000003,66901,739,90,0.050274722278118134,56900,0.007106608944013715,0.0001,-24.089773178100586,2.9793205857276917,0.0035881471703760326,,,
0.009999999776482582,1350,49.65,-20.159103209999998,67401,745,90,0.05025049299001694,57400,0.012448337976820767,0.0001,-13.42768144607544,3.0257031321525574,0.003428834897931665,,,
0.009999999776482582,1360,49.65,-20.105586140000003,67901,750,90,0.050232820212841034,57900,0.0028693250205833465,0.0001,-16.5180242061615,3.0373141169548035,0.0032754273270256817,,,
0.009999999776482582,1370,49.65,-19.96314335,68401,756,90,0.05021291226148605,58400,0.007837770914193243,0.0001,-18.116940021514893,3.049493968486786,0.0031270647305063903,,,
0.009999999776482582,1380,49.65,-20.10614512,68901,762,90,0.050187550485134125,58900,0.001982660876819864,0.0001,-20.694340705871582,3.131113648414612,0.002985172439366579,,,
0.009999999776482582,1390,49.65,-19.29334003,69401,768,90,0.050172120332717896,59400,0.0024366815050598234,0.0001,-17.586259841918945,3.0844913721084595,0.0028523990768007934,,,
0.019999999552965164,1400,49.22,-18.53136581,69858,774,90,0.05015235394239426,59856,0.0032471537415403873,0.0001,-14.216450691223145,3.0695841312408447,0.002743393008131534,,,
0.019999999552965164,1410,49.22,-18.321513869999997,70358,780,90,0.05011580511927605,60356,0.007041491335257888,0.0001,-13.30147385597229,3.0725146532058716,0.002636637131217867,,,
0.019999999552965164,1420,49.22,-18.801927250000002,70858,786,90,0.0500679537653923,60856,0.03468787798192352,0.0001,-9.633571147918701,3.0523268580436707,0.0025403358740732074,,,
0.009999999776482582,1430,49.57,-18.65642777,71358,792,90,0.05003703385591507,61356,0.0036606693756766617,0.0001,-12.555317044258118,3.0902931690216064,0.002455695066601038,,,
0.009999999776482582,1440,49.57,-19.287255939999998,71858,798,89,0.05001739785075188,61856,0.010015454958193004,0.0001,-10.950432538986206,2.920173764228821,0.002377887489274144,,,
0.019999999552965164,1450,49.16,-18.94257347,72317,804,89,0.0499858483672142,62316,0.01775957061909139,0.0001,-7.514503359794617,2.954719603061676,0.0022988822893239558,,,
0.019999999552965164,1460,49.16,-18.590985930000002,72817,810,89,0.049960680305957794,62816,0.0052832867950201035,0.0001,-8.363987788558006,2.91053706407547,0.0022128617856651545,,,
0.03999999910593033,1470,48.34,-18.65619442,73235,815,89,0.049917083233594894,63232,0.0165028665214777,0.0001,-8.179382741451263,2.8863149881362915,0.0021456890972331166,,,
0.03999999910593033,1480,48.34,-18.530475990000003,73735,822,89,0.049871914088726044,63732,0.002431953966151923,0.0001,-3.4075241684913635,2.925370156764984,0.002067720692139119,,,
0.03999999910593033,1490,48.34,-18.770100420000002,74235,828,89,0.049843937158584595,64232,0.003963107767049223,0.0001,-14.747984409332275,2.913151264190674,0.0019922885694541037,,,
0.029999999329447746,1500,48.77,-19.491406010000002,74735,834,89,0.04980839043855667,64732,0.006053402845282108,0.0001,-8.882216215133667,2.927392601966858,0.001919265341712162,,,
0.029999999329447746,1510,48.77,-19.653063980000002,75235,840,89,0.04978015646338463,65232,0.004535844054771587,0.0001,-6.705452561378479,2.9076098799705505,0.0018489117501303554,,,
0.029999999329447746,1520,48.77,-20.23404252,75735,847,89,0.049744509160518646,65732,0.002716342336498201,0.0001,-4.5962603986263275,2.927235424518585,0.0017797850596252829,,,
0.029999999329447746,1530,48.77,-20.29550306,76235,853,89,0.04972144588828087,66232,0.005715688515920192,0.0001,-8.2267005443573,2.8584887385368347,0.0017152951622847468,,,
0.029999999329447746,1540,48.77,-19.78391164,76735,859,89,0.049678705632686615,66732,0.009280757396481931,0.0001,-6.492175310850143,2.8908482789993286,0.0016500872443430126,,,
0.019999999552965164,1550,49.18,-19.88742175,77235,865,89,0.04964622110128403,67232,0.008866428164765239,0.0001,-1.9911628365516663,2.903112053871155,0.0015994894783943892,,,
0.03999999910593033,1560,48.29,-19.7889738,77646,870,89,0.04961652681231499,67644,0.0033214816940017045,0.0001,-2.03890236094594,2.835933744907379,0.0015716995112597942,,,
0.029999999329447746,1570,49.01,-20.020123620000003,78136,876,89,0.04957549273967743,68132,0.03921838558744639,0.0001,-3.2524319216609,2.933260917663574,0.0015356938529293984,,,
0.03999999910593033,1580,48.57,-19.72756252,78592,882,89,0.04954725131392479,68588,0.013418839720543474,0.0001,-6.451057553291321,2.8479777574539185,0.001509871828602627,,,
0.03999999910593033,1590,48.57,-20.68482511,79092,889,88,0.04950946196913719,69088,0.008006292860955,0.0001,-2.323786586523056,2.875643730163574,0.0014777419564779848,,,
0.03999999910593033,1600,48.57,-20.62738446,79592,895,88,0.04947990924119949,69588,0.005828811204992235,0.0001,-4.714659184217453,2.850512444972992,0.001445909176254645,,,
,,,,80000,,,,69996,0.0064000769052654505,0.0001,-1.7927181273698807,2.8163806200027466,0.0014190009678713977,-21.82668545,50.0,0.0
0.03999999910593033,1610,48.57,-20.626867609999998,80092,908,88,0.04944993183016777,70088,0.004993626265786588,0.0001,-3.214315928518772,2.8645134568214417,0.001410829951055348,,,
0.03999999910593033,1620,48.57,-19.700650569999997,80592,916,87,0.04941672831773758,70588,0.006537578708957881,0.0001,1.822041004896164,2.8195912837982178,0.001385474664857611,,,
0.03999999910593033,1630,48.57,-20.537918149999996,81092,922,87,0.049367260187864304,71088,0.013049895875155926,0.0001,-4.387605428695679,2.8216148614883423,0.0013676167000085115,,,
0.03999999910593033,1640,48.57,-20.63650216,81592,928,87,0.04936739429831505,71588,0.008794145658612251,0.0001,-5.579573154449463,2.847982168197632,0.0013384725025389344,,,
0.05000000074505806,1650,48.2,-20.37681188,82055,934,87,0.04933973774313927,72052,0.005963518051430583,0.0001,1.9550486952066422,2.8184491991996765,0.0013045223604422063,,,
0.029999999329447746,1660,49.09,-21.116607599999995,82555,940,87,0.04931814596056938,72552,0.017538331681862473,0.0001,2.8322415947914124,2.8579236268997192,0.001280272233998403,,,
